<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
GAZP,1,20200302,143900,204.8700000,205.1900000,204.8700000,205.0000000
GAZP,1,20200302,144000,205.0100000,205.0600000,204.8000000,204.9000000
GAZP,1,20200302,144100,204.9900000,204.9900000,204.6700000,204.7500000
GAZP,1,20200302,144200,204.7500000,204.7900000,204.3300000,204.4100000
GAZP,1,20200302,144300,204.4100000,204.6300000,204.4000000,204.5500000
GAZP,1,20200302,144400,204.5000000,204.5000000,204.2100000,204.2200000
GAZP,1,20200302,144500,204.2600000,204.2600000,203.6100000,203.6600000
GAZP,1,20200302,144600,203.6800000,203.9000000,203.6000000,203.7000000
GAZP,1,20200302,144700,203.6300000,204.1700000,203.1600000,203.8400000
GAZP,1,20200302,144800,203.7500000,203.8500000,203.5900000,203.8500000
GAZP,1,20200302,144900,203.8000000,203.9000000,203.6200000,203.7100000
GAZP,1,20200302,145000,203.6900000,203.7800000,203.3000000,203.3700000
GAZP,1,20200302,145100,203.3200000,203.4000000,202.8800000,203.0600000
GAZP,1,20200302,145200,203.0700000,203.3400000,202.8100000,202.9800000
GAZP,1,20200302,145300,202.9800000,203.2300000,202.8700000,203.0200000
GAZP,1,20200302,145400,203.1000000,203.5000000,203.0400000,203.1100000
GAZP,1,20200302,145500,203.1100000,203.3000000,202.8500000,202.8900000
GAZP,1,20200302,145600,202.9300000,202.9600000,202.5800000,202.8000000
GAZP,1,20200302,145700,202.7400000,202.8600000,202.4500000,202.4600000
GAZP,1,20200302,145800,202.4600000,202.4700000,201.3700000,201.7000000
GAZP,1,20200302,145900,201.6500000,202.2500000,201.5400000,201.8100000
GAZP,1,20200302,150000,201.8700000,202.0500000,201.3500000,201.4200000
GAZP,1,20200302,150100,201.3500000,201.3500000,200.4000000,200.4600000
GAZP,1,20200302,150200,200.4500000,201.3300000,200.3900000,200.9400000
GAZP,1,20200302,150300,200.9400000,201.6000000,200.7300000,201.5600000
GAZP,1,20200302,150400,201.5000000,201.5600000,201.0600000,201.0600000
GAZP,1,20200302,150500,201.0600000,201.1000000,200.0000000,200.0900000
GAZP,1,20200302,150600,200.0900000,200.2100000,198.2600000,199.1500000
GAZP,1,20200302,150700,199.0700000,200.9400000,199.0700000,200.7100000
GAZP,1,20200302,150800,200.6700000,202.0000000,200.6700000,201.1900000
GAZP,1,20200302,150900,201.1800000,201.4400000,200.4000000,201.0300000
GAZP,1,20200302,151000,201.1600000,202.4600000,201.0800000,202.0500000
GAZP,1,20200302,151100,202.1000000,202.1400000,199.5800000,200.1300000
GAZP,1,20200302,151200,200.2800000,200.9200000,200.0500000,200.7800000
GAZP,1,20200302,151300,200.7800000,201.3200000,200.0300000,200.3000000
GAZP,1,20200302,151400,200.2000000,200.3100000,199.6800000,199.9000000
GAZP,1,20200302,151500,199.8800000,199.9900000,199.6600000,199.6800000
GAZP,1,20200302,151600,199.7800000,200.0000000,199.0800000,199.0800000
GAZP,1,20200302,151700,199.0900000,199.9900000,198.9300000,199.4600000
GAZP,1,20200302,151800,199.4600000,199.9100000,199.3500000,199.7700000
GAZP,1,20200302,151900,199.7200000,199.9900000,198.7000000,198.7000000
